IMI� PIERWSZE;P�E�;LICZBA WYST�PIE�;
NIKITA;MʯCZYZNA;7489;19740795
ALOJZY;MʯCZYZNA;7453;19748248
KYRYLO;MʯCZYZNA;7239;19755487
MARTIN;MʯCZYZNA;7235;19762722
NATANIEL;MʯCZYZNA;7113;19769835
MILAN;MʯCZYZNA;6962;19776797
MYKYTA;MʯCZYZNA;6899;19783696
OLEG;MʯCZYZNA;6865;19790561
DANIIL;MʯCZYZNA;6814;19797375
MICHAEL;MʯCZYZNA;6792;19804167
YEHOR;MʯCZYZNA;6775;19810942
MATVII;MʯCZYZNA;6629;19817571
GUSTAW;MʯCZYZNA;6612;19824183
KONSTANTY;MʯCZYZNA;6609;19830792
CYPRIAN;MʯCZYZNA;6469;19837261
BENEDYKT;MʯCZYZNA;6439;19843700
PAVEL;MʯCZYZNA;6410;19850110
STEPAN;MʯCZYZNA;6385;19856495
VALENTYN;MʯCZYZNA;6369;19862864
MIESZKO;MʯCZYZNA;6360;19869224
SAMUEL;MʯCZYZNA;6255;19875479
MAKSIM;MʯCZYZNA;6204;19881683
RAJMUND;MʯCZYZNA;6174;19887857
BRAJAN;MʯCZYZNA;5950;19893807
ALIAKSEI;MʯCZYZNA;5655;19899462
SERGII;MʯCZYZNA;5565;19905027
FLORIAN;MʯCZYZNA;5403;19910430
TYMOFII;MʯCZYZNA;5377;19915807
EDUARD;MʯCZYZNA;5212;19921019
KEVIN;MʯCZYZNA;5198;19926217
RUDOLF;MʯCZYZNA;5169;19931386
DAVYD;MʯCZYZNA;5108;19936494
ROSTYSLAV;MʯCZYZNA;5092;19941586
IWO;MʯCZYZNA;5037;19946623
MARCELI;MʯCZYZNA;4979;19951602
HIERONIM;MʯCZYZNA;4800;19956402
ARIEL;MʯCZYZNA;4681;19961083
GIORGI;MʯCZYZNA;4629;19965712
BENIAMIN;MʯCZYZNA;4611;19970323
KORDIAN;MʯCZYZNA;4610;19974933
FRYDERYK;MʯCZYZNA;4586;19979519
WINCENTY;MʯCZYZNA;4566;19984085
LEONID;MʯCZYZNA;4519;19988604
ERWIN;MʯCZYZNA;4459;19993063
JEREMI;MʯCZYZNA;4444;19997507
ALEKSY;MʯCZYZNA;4436;20001943
YAUHENI;MʯCZYZNA;4386;20006329
ANDRIY;MʯCZYZNA;4346;20010675
NAZARII;MʯCZYZNA;4300;20014975
ZYGFRYD;MʯCZYZNA;4249;20019224
VICTOR;MʯCZYZNA;4217;20023441
MAXIMILIAN;MʯCZYZNA;4135;20027576
ROLAND;MʯCZYZNA;4131;20031707
YURY;MʯCZYZNA;4089;20035796
SERGIUSZ;MʯCZYZNA;4048;20039844
TYMUR;MʯCZYZNA;4029;20043873
VITALI;MʯCZYZNA;4014;20047887
ULADZIMIR;MʯCZYZNA;3989;20051876
LEO;MʯCZYZNA;3966;20055842
PATRICK;MʯCZYZNA;3960;20059802
THOMAS;MʯCZYZNA;3827;20063629
MIKHAIL;MʯCZYZNA;3799;20067428
SVIATOSLAV;MʯCZYZNA;3768;20071196
OLGIERD;MʯCZYZNA;3730;20074926
AMADEUSZ;MʯCZYZNA;3711;20078637
OSCAR;MʯCZYZNA;3515;20082152
IHAR;MʯCZYZNA;3388;20085540
WALENTY;MʯCZYZNA;3383;20088923
NICOLAS;MʯCZYZNA;3357;20092280
EMILIAN;MʯCZYZNA;3337;20095617
ULADZISLAU;MʯCZYZNA;3258;20098875
KEWIN;MʯCZYZNA;3231;20102106
BRUNON;MʯCZYZNA;3195;20105301
